1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Transaction ID,Loan ID,Prospectus Loan ID,Property ID,Distribution Date,Cross-Collateralized Loan Grouping,Property Name,Property Address,Property City,Property State,Property Zip Code,Property County,Property Type,Year Built,Year Last Renovated,Current Net Rentable Square Feet,Current Number of Units/Beds/Rooms,Property Status,Allocated Percentage of Loan at Contribution,Current Allocated Percentage,Current Allocated Ending Scheduled Loan Amount,Ground Lease (Y/N/S),EMPTY FIELD,Most Recent Valuation Date,Most Recent Value,Date Asset Expected to be Resolved or Foreclosed,Foreclosure Start Date,REO Date,Most Recent Physical Occupancy,Most Recent Occupancy As Of Date,Date Lease Rollover Review,Pct. Sq. Feet expiring 1-12 months,Pct. Sq. Feet expiring 13-24 months,Pct. Sq. Feet expiring 25-36 months,Pct. Sq. Feet expiring 37-48 months,Pct. Sq. Feet expiring 49+ months,Largest Tenant,Square Feet of Largest Tenant,Second Largest Tenant,Square Feet of Second (2nd) Largest Tenant,Third Largest Tenant,Square Feet of Third (3rd) Largest Tenant,Fiscal Year End Month,Contribution Financials As Of Date,Revenue at Contribution,Operating Expenses at Contribution,NOI at Contribution,DSCR (NOI) at Contribution,Valuation Amount at Contribution,Valuation Date at Contribution,Physical Occupancy at Contribution,Date of Last Inspection,Preceding Fiscal Year Financial As Of Date,Preceding Fiscal Year Revenue,Preceding Fiscal Year Operating Expenses,Preceding Fiscal Year NOI,Preceding Fiscal Year Debt Service Amount,Preceding Fiscal Year DSCR (NOI),Preceding Fiscal Year Physical Occupancy,Second Preceding Fiscal Year Financial As Of Date,Second Preceding Fiscal Year Revenue,Second Preceding Fiscal Year Operating Expenses,Second Preceding Fiscal Year NOI,Second Preceding Fiscal Year Debt Service Amount,Second Preceding Fiscal Year DSCR (NOI),Second Preceding Fiscal Year Physical Occupancy,Property Status Change Date,Most Recent Revenue,Most Recent Operating Expenses,Most Recent NOI,Most Recent Debt Service Amount,Most Recent DSCR (NOI),Most Recent Financial As Of Start Date,Most Recent Financial As Of End Date,Most Recent Financial Indicator,NCF at Contribution,DSCR (NCF) at Contribution,Preceding Fiscal Year NCF,Preceding Fiscal Year DSCR (NCF),Second Preceding Fiscal Year NCF,Second Preceding Fiscal Year DSCR (NCF),Most Recent NCF,Most Recent DSCR (NCF),NOI/NCF Indicator,Deferred Maintenance Flag (Y/N),Date of Lease Expiration of Largest Tenant,Date of Lease Expiration of Second (2nd) Largest Tenant,Date of Lease Expiration of Third (3rd) Largest Tenant,Property Condition,Most Recent Valuation Source,Credit Tenant Lease (Y/N),Fourth Largest Tenant,Square Feet of Fourth (4th) Largest Tenant,Fifth Largest Tenant,Square Feet of Fifth (5th) Largest Tenant,Date of Lease Expiration of Fourth (4th) Largest Tenant,Date of Lease Expiration of Fifth (5th) Largest Tenant,Net Operating Income Indicator at Contribution,Valuation Source at Contribution
CGCMT16P5,030297782,01A1,01A1-001,20171212,,2 Columbus Drive a.k.a 2 Exchange Place,2 Columbus Drive a.k.a 2 Exchange Place,Jersey City,NJ,7302,Hudson,LO,2002,2013,0,351,6,1.00000000000,1.00000000000,65000000.00,Y,,20160628,191000000.00, , , ,0.85,20170930,,,,,,,,,,,,,12,20161003,43206594.00,27840202.00,15366392.00,6.36,191000000.00,20160628,0.86,20170828,20161231,42854377.00,27549217.08,15305159.92,3718944.38,4.12,0.00, ,,,,,,,20161201,39894790.00,28527069.60,11367720.40,3718944.38,3.06,20170101,20170630,YA,13206062.00,5.46,13159441.07,3.54,,,9372980.62,2.52,CREFC,N, , , ,3,MAI,N,,,,, , ,,
CGCMT16P5,030311379,11A31,11A31-001,20171212,,Hotel Melia - Net Lease,132 West 27th St.,New York,NY,10026,New York,LO,2016,,0,313,6,1.00000000000,1.00000000000,31538088.39,N,,20160608,222000000.00, , , ,, ,,,,,,,,,,,,,12,20160815,10455998.00,0.00,10455998.00,1.70,222000000.00,20160608,0.00,20170913,20161231,7500000.00,60.00,7499940.00,6149488.20,1.22,0.00, ,,,,,,,20161101,8500002.67,18932.00,8481070.67,6149488.20,1.38,20170101,20170930,YA,10455998.00,1.70,7499940.00,1.22,,,8481070.67,1.38,CREFC,N, , , ,2,MAI,N,,,,, , ,,
CGCMT16P5,030311403,06A2,06A2-000,20171212,,Crocker Park Blvd. & Main Street - Building AW,160-196 Crocker Park Blvd. and 9-33 Main Street,Westlake,OH,44145,Cuyahoga,MU,2004,,0,,6,0.00000000000,0.00000000000,0.00,N,, ,0.00, , , ,, ,20160722,0.00,0.00,0.0328,0.0864,0.187,Dick's Sporting Goods,75000,Fitness & Sports Clubs,40000,Barnes & Noble,28684,12, ,,,,,0.00, ,0.00,20170821, ,,,,,,0.00, ,,,,,,,20160901,,,,,, , ,,,,,,,,,,CREFC,N,20250131,20310228,20200331,2,,N,Regal Cinemas Crocker Park 16,24442,H&M,20148,20200430,20180731,,
CGCMT16P5,030311403,06A2,06A2-000,20171212,,Crocker Park Blvd. & Main Street - Building BE,200-226 Crocker Park Blvd. and 6-38 Main Street,Westlake,OH,44145,Cuyahoga,MU,2004,,0,,6,0.00000000000,0.00000000000,0.00,N,, ,0.00, , , ,, ,20160722,0.00,0.00,0.0328,0.0864,0.187,Dick's Sporting Goods,75000,Fitness & Sports Clubs,40000,Barnes & Noble,28684,12, ,,,,,0.00, ,0.00,20170821, ,,,,,,0.00, ,,,,,,,20160901,,,,,, , ,,,,,,,,,,CREFC,N,20250131,20310228,20200331,2,,N,Regal Cinemas Crocker Park 16,24442,H&M,20148,20200430,20180731,,
CGCMT16P5,030311403,06A2,06A2-000,20171212,,Crocker Park Blvd. - Building BW,238-294 Crocker Park Blvd.,Westlake,OH,44145,Cuyahoga,RT,2004,,0,,6,0.00000000000,0.00000000000,0.00,N,, ,0.00, , , ,, ,20160722,0.00,0.00,0.0328,0.0864,0.187,Dick's Sporting Goods,75000,Fitness & Sports Clubs,40000,Barnes & Noble,28684,12, ,,,,,0.00, ,0.00,20170822, ,,,,,,0.00, ,,,,,,,20160901,,,,,, , ,,,,,,,,,,CREFC,N,20250131,20310228,20200331,2,,N,Regal Cinemas Crocker Park 16,24442,H&M,20148,20200430,20180731,,
CGCMT16P5,030311403,06A2,06A2-000,20171212,,Crocker Park Blvd. - Building C,300 Crocker Park Blvd.,Westlake,OH,44145,Cuyahoga,RT,2004,,0,,6,0.00000000000,0.00000000000,0.00,N,, ,0.00, , , ,, ,20160722,0.00,0.00,0.0328,0.0864,0.187,Dick's Sporting Goods,75000,Fitness & Sports Clubs,40000,Barnes & Noble,28684,12, ,,,,,0.00, ,0.00,20170822, ,,,,,,0.00, ,,,,,,,20160901,,,,,, , ,,,,,,,,,,CREFC,N,20250131,20310228,20200331,2,,N,Regal Cinemas Crocker Park 16,24442,H&M,20148,20200430,20180731,,
CGCMT16P5,030311403,06A2,06A2-000,20171212,,Crocker Park Blvd. - Building DNE,139-159 Crocker Park Blvd.,Westlake,OH,44145,Cuyahoga,MU,2004,,0,,6,0.00000000000,0.00000000000,0.00,N,, ,0.00, , , ,, ,20160722,0.00,0.00,0.0328,0.0864,0.187,Dick's Sporting Goods,75000,Fitness & Sports Clubs,40000,Barnes & Noble,28684,12, ,,,,,0.00, ,0.00,20170821, ,,,,,,0.00, ,,,,,,,20160901,,,,,, , ,,,,,,,,,,CREFC,N,20250131,20310228,20200331,2,,N,Regal Cinemas Crocker Park 16,24442,H&M,20148,20200430,20180731,,
CGCMT16P5,030311403,06A2,06A2-000,20171212,,Crocker Park Blvd. & Main Street - Building DNW,175 & 211 Crocker Park Blvd. and 75-129 Main Street,Westlake,OH,44145,Cuyahoga,RT,2004,,0,,6,0.00000000000,0.00000000000,0.00,N,, ,0.00, , , ,, ,20160722,0.00,0.00,0.0328,0.0864,0.187,Dick's Sporting Goods,75000,Fitness & Sports Clubs,40000,Barnes & Noble,28684,12, ,,,,,0.00, ,0.00,20170821, ,,,,,,0.00, ,,,,,,,20160901,,,,,, , ,,,,,,,,,,CREFC,N,20250131,20310228,20200331,2,,N,Regal Cinemas Crocker Park 16,24442,H&M,20148,20200430,20180731,,
CGCMT16P5,030311403,06A2,06A2-000,20171212,,Main Street & Market Street - Building DSW,145-197 Main Street and 168-200 Market Street,Westlake,OH,44145,Cuyahoga,RT,2004,,0,,6,0.00000000000,0.00000000000,0.00,N,, ,0.00, , , ,, ,20160722,0.00,0.00,0.0328,0.0864,0.187,Dick's Sporting Goods,75000,Fitness & Sports Clubs,40000,Barnes & Noble,28684,12, ,,,,,0.00, ,0.00,20170821, ,,,,,,0.00, ,,,,,,,20160901,,,,,, , ,,,,,,,,,,CREFC,N,20250131,20310228,20200331,2,,N,Regal Cinemas Crocker Park 16,24442,H&M,20148,20200430,20180731,,
